字	拆分	全码	类型	末字根
成	{成三} {戈无一}	agw	难拆	{戈无一}
湿	{温字框} 业	cej	二根	业
涅	{温字框} 土	cck	二根	土
混	{温字框} 比	clq	二根	比
温	{温字框} 皿	cyz	二根	皿
殷	㐆 殳	ffn	二根	殳
离	㐫 禸	mtk	难拆	禸
罕	㓁 干	iyc	二根	干
敝	㡀 攵	fvj	二根	攵
兰	䒑 二	rht	二根	二
寿	 寸	bof	二根	寸
邦	 阝	ber	二根	阝
亨	 了	cld	二根	了
享	 子	clg	二根	子
充	 儿	ydi	二根	儿
弃	 廾	yql	二根	廾
育	 	yhz	难拆	
养	 	krj	二根	
冒	 目	qfm	二根	目
免	 儿	neg	难拆	儿
卢	 尸	pzk	二根	尸
卓	 早	pqf	二根	早
贞	 贝	pqh	二根	贝
印	 卩	xjf	二根	卩
即	 卩	ijf	二根	卩
既	 旡	irh	二根	旡
卸	 卩	ujf	二根	卩
反	 又	lzn	二根	又
变	 又	vzn	难拆	又
孪	 子	vlg	二根	子
峦	 山	vbn	二根	山
弯	 弓	vdz	二根	弓
恋	 心	vvi	二根	心
挛	 手	vcj	二根	手
栾	 木	vyq	二根	木
脔	 肉	veu	二根	肉
蛮	 虫	vhk	二根	虫
銮	 金	vlu	二根	金
鸾	 鸟	vuc	二根	鸟
卮	 㔾	cjf	二根	㔾
后	 口	cpr	难拆	口
向	 口	dpr	难拆	口
告	 口	rpr	难拆	口
丧	 	lhi	二根	
在	 土	ack	难拆	土
存	 子	alg	二根	子
眉	 目	zfm	二根	目
壶	 业	gej	二根	业
壳	 几	gkx	二根	几
壹	 豆	gxn	二根	豆
妻	 女	jou	二根	女
塞	 土	eck	难拆	土
搴	 手	ecj	二根	手
寨	 朩	eyq	二根	朩
褰	 衣	ehi	二根	衣
謇	 言	eok	二根	言
赛	 贝	eqh	二根	贝
蹇	 足	ehb	二根	足
骞	 马	ewm	二根	马
寒	 	ecd	二根	
当	 彐	iqj	难拆	彐
尧	 兀	gse	二根	兀
羌	 ⺃	ahu	二根	⺃
差	 工	aiv	二根	工
羯	 曷	abl	二根	曷
着	 目	afm	难拆	目
翔	 羽	aqu	二根	羽
夷	 弓	ndz	二根	弓
帅	 巾	rsu	二根	巾
归	 彐	rqj	难拆	彐
延	 廴	itk	二根	廴
來	 从	ylc	二根	从
惠	 心	bvi	难拆	心
凸	 一	sfk	二根	一
凹	 一	ofk	二根	一
兕	 兀	ose	二根	兀
奏	 天	uak	二根	天
春	 日	uwr	难拆	日
泰	 氺	ubk	二根	氺
秦	 禾	utu	二根	禾
舂	 臼	ubq	二根	臼
奉	 	uvl	二根	
丈	 丶	ems	二根	丶
右	 口	epr	二根	口
左	 工	eiv	二根	工
布	 巾	esu	二根	巾
灰	 火	exl	二根	火
有	 	ehz	难拆	
段	 殳	xfn	难拆	殳
乞	 乛	nbm	二根	乛
午	 十	neo	二根	十
每	 母	nsh	二根	母
年	 	ngh	难拆	
顷	 页	ymg	二根	页
炙	 火	mxl	二根	火
疏	 㐬	ipw	二根	㐬
美	 大	anf	难拆	大
姜	 女	aou	二根	女
恙	 心	avi	二根	心
羔	 灬	axl	二根	灬
盖	 皿	ayz	二根	皿
笮	 乍	kuo	二根	乍
竺	 二	kht	二根	二
箕	 其	kkt	二根	其
笈	 及	kvk	二根	及
笱	 句	knw	二根	句
答	 合	knv	难拆	合
笑	 夭	kfo	难拆	夭
篓	 娄	kzp	二根	娄
笋	 尹	kwn	二根	尹
