ms	丶
pr	口   〇 
kl	勹  
iu	亻 
dh	白
of	寸
df	辶
hz	   
zn	又  龴 
fk	一
ck	土 
vl	扌  𰀁   󲟎 󱣣
yq	木 朩   㝳 𣎳
ys	匕   
wr	日 
vi	心
eo	十  
sc	讠
rj	刂     
ou	女
me	氵
nf	大 
je	是
so	力 
tu	禾  
sk	人
dx	宀
lg	子
fi	厶 
er	阝
go	
ke	不
iv	工
cd	 彡 ⺀    󲻝 𰀪
ks	王  
li	纟 
ur	可
lb	丿
xl	火 灬   
vj	攵 攴
su	巾 
fl	你
xi	也
ak	  𠮛
gp	丨
qh	贝
rs	牛 牜 
uw	旦
js	月  円
od	冂 冖     
yv	云  𠫓  󰂫 
bp	丰 龶  丯
ql	艹 廾 丱 ⻀ 卄 ⺿ 𫡃 󰓯  
zi	门
gw	戈 {戈无一} 
jp	兴    𰃮 󰅄 
qi	㐅 𘱌 乂 乄
wj	冫    
hf	文
ld	了 𠄏
ar	
xt	囗
hd	丷
wj	我
ig	小     𡭔
sg	兄
nc	 
kh	竹  
tn	斤 
xg	西 覀 襾
ty	田
sp	夂 夊
mg	页
ro	犬 犭
gi	忄  ⺗  󰍒 㣺 󳖶
kc	欠
og	中
fm	目
to	彳
jf	卩 㔾   卪 𭅲
ix	艮 
fi	广 
jz	刀 
cm	开 
ep	车 
bm	乛
rn	至
as	羊     ⺶
ua	耳
lw	见
nc	生
ja	聿    ⺺   肀 󰧳 ⺻ 󰈡 󱌱
ay	八 
ui	而
ux	上
fn	殳
kx	几  
yo	吕 吅 
gh	里
vn	者
di	儿
lv	矢
uf	用 
lj	方
en	己 
aw	且 
kt	其
gk	去
nv	合
ls	厂 
cj	手 龵   
se	尢 兀 丌  󰘆
tj	角
vo	此
ds	多
jk	立 
cv	自
hi	衣     
qy	夕
qj	彐   𬺹
ht	二
he	来
nq	礻 衤
ji	舌 
wf	隹
nt	正
ra	石
cp	糸 幺 糹
wm	马 
hw	片 丬   爿  
tk	廴
xc	各
tm	本
na	   
nl	京
mv	果
px	更
al	钅
zc	米  𠂭 󱹐 󳦲
uo	乍
xu	相
rc	䒑  󰦙
wl	弋 
jx	占
hl	止  龰 
er	雨 
dz	弓 𢎜
yd	直
zk	尸       
hk	虫  󲴢 𠀐
pg	卜 
au	主
tk	下 󰷣
th	示 ⺬ 𱍐
mw	关
nx	士
sa	尚  龸
ai	万 {成三}
by	豕 乑  豸 𬺻  𧰧 𬺷
ok	言
ef	行
fu	壬 𡈼
bk	水 氺     
rl	元
hr	音 󲨣
jw	出
sl	巴
ej	业
ci	高    󰂗 󰂘
jg	玉
ob	古
me	祭   癶  
dj	分
wa	交
us	走
ae	先
af	亼 亽
kq	内
qb	戉 戊 
ud	户
ro	
lr	只
rh	 耂
hb	足 
wh	疒
cc	
sh	母
dd	四 罒 
li	共
bi	丂  
ot	定
xm	夫
sd	发
ak	天
gh	㐄    𫝀 󰆃
cy	井 
xd	甬
yz	皿
hu	⺃
uv	㠯  𮍌 
lq	比 
zs	皮 
ww	亠
ju	戶 戸 
md	凵 丩  𠙴 𠂈
jr	化
vk	及
yx	非
nd	之
sf	夬
xm	匚   匸   𠥓
zp	娄
sf	面
vp	亥
xj	廿 龷  
gd	今
dn	  
nr	歹 歺 
mr	专
lc	从  仌
fq	首
na	丁 
sj	七    
ov	包
kg	穴
vu	求
kv	由
ie	介
bn	山 
zx	长
ch	爪 爫 乊  𫜵 𱬴
zf	电   󰂊
ia	咅
dk	亲
fa	身 㐆
jc	两
we	与
ru	才
wh	公
te	册  冊 𠕁 󱼬
dl	居
ri	无
ez	
wd	产
oi	支
xb	 󰘀
nw	句
am	友
ih	平
de	原
gl	     󰀣 󱀺
vm	少
