ms	丶
pr	口 齊字底 面字心 〇 Δ
kl	勹 別字旁底 万无横
iu	亻 段二
dh	白
of	寸
df	辶
hz	青字底 且无横 亙无二 𡠡字边字底字旁
zn	又 经右角 龴 祭右角
fk	一
ck	土 里无日
vl	扌 举字底 𰀁 夫三 牜无丿 𪮣字头字旁 𥾒字边
yq	木 朩 木框 㳈字边 㝳 𣎳
ys	匕 以字旁 比字旁 化字边
wr	日 临下角
vi	心
eo	十 左字框 于无横
sc	讠
rj	刂 师字旁 乔字底 刀中 临字旁 州中
ou	女
me	氵
nf	大 大框
je	是
so	力 为字框
tu	禾 余字底 禾框
sk	人
dx	宀
lg	子
fi	厶 虫无口
er	阝
go	全字头
ke	不
iv	工
cd	冬字底 彡 ⺀ 横两撇 纵两撇 纵三点 𭛕字头字心字边 𰀪
ks	王 斜玉 噩字框
li	纟 丝左角
ur	可
lb	丿
xl	火 灬 兼无䒑无彐 亦字底 业无横
vj	攵 攴
su	巾 㒳字框
fl	你
xi	也
ak	凬字心 同字心 𠮛
gp	丨
qh	贝
rs	牛 牜 告字头
uw	旦
js	月 丽下角 円
od	冂 冖 身字框 周字框 见二 凹无横 雋字底
yv	云 充字头 𠫓 至字头 𠆉字头 ㄊ
bp	丰 龶 寿字头 丯
ql	艹 廾 丱 ⻀ 卄 ⺿ 𫡃 𠶵字腰字心 𠇎字底 サ
zi	门
gw	戈 戈无一 尧字头
jp	兴 应字心 学无子 学字头 𰃮 𠌏字边字头 𫝂字底字旁
qi	㐅 𘱌 乂 乄
wj	冫 率字腰 飞无折 水字框 鳏下角框
hf	文
ld	了 𠄏
ar	在字框
xt	囗
hd	丷
wj	我
ig	小 尚字头 木无横 拣字边无七 少三 𡭔
sg	兄
nc	卧人 弟省无弓
kh	竹 竹头 临右角
tn	斤 丘无横
xg	西 覀 襾
ty	田
sp	夂 夊
mg	页
ro	犬 犭
gi	忄 恭字底 ⺗ 𥨥字底字心 𠢯字旁字底字底 㣺 𱘭字底
kc	欠
og	中
fm	目
to	彳
jf	卩 㔾 报字边无又 节字底 卪 𭅲
ix	艮 即字旁
fi	广 度字框
jz	刀 黎右角
cm	开 発字底
ep	车 车旁
bm	乛
rn	至
as	羊 差字头 美字头 南字心 鬲字心 ⺶
ua	耳
lw	见
nc	生
ja	聿 隶字框 争字底 妻字头 ⺺ 畫字头 盡字头无灬 肀 𢈏字心字头 ⺻ 𠔥字腰 𤔇字底之一
ay	八 横两点
ui	而
ux	上
fn	殳
kx	几 风省 ⺇变
yo	吕 吅 龠字腰
gh	里
vn	者
di	儿
lv	矢
uf	用 甬字底
lj	方
en	己 己旁
aw	且 具字头
kt	其
gk	去
nv	合
ls	厂 反字框
cj	手 龵 拜字边 羊下 手变
se	尢 兀 丌 宺字底无口 𡋲字头字框
tj	角
vo	此
ds	多
jk	立 立无横
cv	自
