的	白勹丶
一	一
是	是
不	不
了	了
在	{在字框}土
我	我
人	人
他	亻也
这	文辶
有	{左字框}{青字底}
个	{全字头}丨
大	大
上	上
中	中
来	来
地	土也
和	禾口
说	讠丷兄
为	丶{为字框}丶
们	亻门
到	至刂
你	你
就	京尢丶
也	也
以	{以字旁}人
国	囗玉
那	{那字旁}阝
要	覀女
时	日寸
出	出
着	{差字头}目
可	可
道	首辶
之	之
对	又寸
会	{全字头}云
自	自
而	而
得	彳旦寸
下	下
能	厶{青字底}匕匕
过	寸辶
生	生
子	子
于	一{于无横}
年	{卧人}{年字底}
后	{后字框}口
发	发
都	者阝
里	里
没	氵殳
还	不辶
所	戶斤
去	去
看	龵目
事	{同字心}{隶字框}
如	女口
用	用
小	小
作	亻乍
多	多
行	行
只	只
好	女子
成	{成三}{戈无一}
家	宀豕
天	天
她	女也
方	方
然	{然左角}犬灬
当	{尚字头}彐
心	心
起	走己
种	禾中
想	相心
经	纟{经右角}工
现	王见
但	亻旦
法	氵去
无	无
同	冂{同字心}
么	丿厶
进	井辶
学	{学无子}子
面	面
其	其
前	䒑{青字底}刂
已	已
主	主
从	从
动	云力
分	分
把	扌巴
开	开
军	冖车
又	又
两	两
本	本
因	囗大
定	定
部	咅阝
与	与
将	丬夕寸
日	日
长	长
理	王里
三	三
些	此二
实	宀⺀大
样	木羊
十	十
意	音心
知	矢口
此	此
第	{竹头}弓{弟省无弓}
力	力
很	彳艮
正	正
高	高
手	手
什	亻十
身	身
被	衤皮
它	宀匕
明	日月
老	老
者	者
公	公
见	见
机	木几
向	{向字框}口
问	门口
最	日耳又
使	亻{同字心}𘱌
全	{全字头}王
点	占灬
情	忄龶{青字底}
外	夕卜
民	民
并	丷开
战	占戈
关	关
工	工
回	囗口
等	{竹头}土寸
相	相
二	二
重	𡈼旦
由	由
头	⺀大
声	士{眉字框}
性	忄生
应	广{应字心}
间	门日
话	讠舌
文	文
给	纟合
美	{美字头}大
业	业
物	牜{黎右角}丿
真	直八
体	亻本
或	戈口一
政	正攵
几	几
内	内
利	禾刂
打	扌丁
走	走
新	亲斤
位	亻立
西	西
再	一冉
产	产
加	力口
月	月
却	去卩
先	先
制	牛{身字框}刂
特	牜土寸
果	果
东	{东二}小
神	礻申
儿	儿
才	才
门	门
太	太
合	合
信	亻言
表	龶{衣省}
原	原
女	女
更	更
己	己
名	夕口
立	立
比	比
代	亻弋
四	四
斯	其斤
任	亻壬
次	冫欠
世	廿⺃
便	亻更
听	口斤
提	扌是
做	亻古攵
海	氵{卧人}母
水	水
教	耂子攵
眼	目艮
化	化
通	甬辶
感	戊{同字心}心
王	王
各	各
口	口
气	气
别	另刂
少	少
处	夂卜
平	平
常	{尚头}巾
解	角刀牛
何	亻可
接	扌妾
目	目
反	{反字框}又
变	{变字头}又
笑	{竹头}夭
总	丷口心
入	入
认	讠人
条	夂朩
安	宀女
金	金
及	及
度	{度字框}又
让	讠上
山	山
马	马
受	{爱字头}又
活	氵舌
结	纟士口
数	娄攵
直	直
必	心丿
白	白
指	扌匕日
张	弓长
报	扌{报字边无又}又
论	讠仑
员	员
义	丶𘱌
放	方攵
电	电
至	至
五	五
系	丿糸
难	又隹
命	亼口卩
建	聿廴
尔	{尔字头}小
件	亻牛
死	歹匕
保	亻口木
完	宀元
许	讠{卧人}十
题	是页
场	土乛{横两撇}
空	穴工
计	讠十
怎	乍心
光	光
管	{竹头}宀㠯
非	非
德	彳十罒一心
强	弓口虫
量	旦里
决	冫夬
形	开彡
像	亻象
期	其月
资	冫欠贝
队	阝人
清	氵龶{青字底}
务	夂力
嗯	口囗大心
统	纟{充字头}儿
书	乛乛丨丶
市	亠巾
司	乛{同字心}
师	{师字旁}一巾
住	亻主
即	{即字旁}卩
克	古儿
带	{带字头}冖巾
飞	飞
南	十{身字框}{南字心}
区	区
李	木子
则	贝刂
觉	{学无子}见
交	交
社	礻土
今	今
基	其土
北	北
展	尸{展字心}
传	亻专
连	车辶
叫	口丩
治	氵厶口
路	{足旁}各
万	万
告	{告字头}口
科	禾斗
呢	口尸匕
思	田心
达	大辶
记	讠己
转	{车旁}专
望	亡月王
边	力辶
快	忄夬
风	风
色	{尔字头}巴
该	讠亥
界	田介
象	象
权	木又
拉	扌立
设	讠殳
且	且
取	耳又
干	干
收	丩攵
步	止{步字底}
领	今丶页
林	林
根	木艮
往	彳主
亲	亲
极	木及
求	求
未	未
每	{卧人}母
程	禾口王
式	弋工
兵	兵
据	扌居
类	米大
言	言
规	夫见
吧	口巴
品	口吅
确	石角
观	又见
城	土{成三}{戈无一}
虽	口虫
失	丿夫
格	木各
远	元辶
办	力{横两点}
元	元
运	云辶
令	今丶
共	共
似	亻{以字旁}人
准	冫隹
请	讠龶{青字底}
武	一弋止
士	士
改	己攵
英	艹{见二}大
术	木丶
车	车
石	石
深	氵㓁木
联	耳关
争	{尔字头}{争字底}
吗	口马
院	阝宀元
轻	{车旁}{经右角}工
火	火
罗	罒夕
百	百
夫	夫
离	㐫禸
花	艹化
近	斤辶
切	七刀
识	讠只
造	{告字头}口辶
组	纟且
流	氵㐬
算	{竹头}目廾
布	{左字框}巾
导	巳寸
早	早
找	扌戈
候	{修字旁}{候右角}矢
满	氵艹两
服	月{报字边无又}又
官	宀㠯
整	束攵正
爱	{爱字头}友
字	宀子
持	扌土寸
跟	{足旁}艮
突	穴犬
影	景彡
消	氵肖
随	阝{左字框}{青字底}辶
吃	口{卧人}乛
商	{立无横}{𠕉字底}口
证	讠正
单	丷旦丨
议	讠丶𘱌
越	走戉
存	{在字框}子
击	𰀁凵
精	米龶{青字底}
济	氵齐
始	女厶口
台	厶口
黑	黑
调	讠{周字框}土口
需	{雨头}而
支	支
杀	乂朩
团	囗才
功	工力
具	{具字头}八
华	化十
脸	月亼{应字心}
府	广亻寸
集	隹木
周	{周字框}土口
青	龶{青字底}
红	纟工
双	双
九	九
八	八
片	片
半	半
容	宀谷
曾	丷{曾字头无丷}日
啊	口阝可
阿	阝可
落	{落字框}各
显	日业
除	阝{全字头}{余字底}
尽	尺{冬字底}
党	{尚头}儿
照	日刀口灬
众	{全字头}从
备	夂田
复	{卧人}日夂
陈	阝{东二}小
断	米⺃斤
价	亻介
约	纟勹丶
写	冖与
包	包
级	纟及
另	另
病	疒一内
质	{反字框}十贝
称	禾{尔字头}小
倒	亻至刂
六	六
江	氵工
绝	纟{尔字头}巴
敌	舌攵
黄	龷由八
技	扌支
朝	龺月
派	氵{反字框}{旅下角}
线	纟戋
站	立占
究	穴九
装	丬士衣
亚	亚
首	首
刚	冂乂刂
示	示
视	礻见
况	冫兄
增	土丷{曾字头无丷}日
谈	讠火火
惊	忄京
古	古
史	口𘱌
谁	讠隹
引	弓丨
须	彡页
七	七
息	自心
研	石开
际	阝示
器	吅犬吅
易	日{黎右角}丿
留	{留字头}田
推	扌隹
坐	从土
房	户方
广	广
注	氵主
查	木旦
语	讠五口
念	今心
若	艹{左字框}口
奇	大可
紧	{贤字头}糸
企	{全字头}止
希	乂{左字框}巾
委	禾女
响	口{向字框}口
号	口丂
参	厶大彡
势	执力
历	厂力
剑	亼{应字心}刂
攻	工攵
冷	冫今丶
投	扌殳
哪	口{那字旁}阝
农	冖{衣省}
专	专
图	囗夂{冬字底}
考	耂丂
选	先辶
终	纟夂{冬字底}
微	{微字框无一}一几
皇	白王
土	土
局	尸乛口
星	日生
足	足
刘	文刂
甚	其⺃
严	亚丿
医	匚矢
男	田力
营	{荧字头}吕
乎	乊{于无横}
仅	亻又
父	父
拿	合手
孩	子亥
答	{竹头}合
费	弗贝
标	木示
依	亻衣
兴	兴
低	亻氏丶
千	千
仍	亻乃
急	刍心
护	扌户
竟	音儿
某	甘木
较	{车旁}交
防	阝方
列	歹刂
讲	讠井
破	石皮
客	宀各
施	{旅字框}也
故	古攵
血	血
节	艹{节字底}
云	云
龙	龙
钱	钅戋
苏	艹力{横两点}
母	母
伤	亻{卧人}力
举	兴{举字底}
族	{旅字框}矢
按	扌宀女
维	纟隹
修	{修字旁}夂彡
帝	{立无横}冖巾
河	氵可
威	戊一女
巴	巴
划	戈刂
致	至攵
案	宀女木
革	革
底	广氏丶
送	关辶
冲	冫中
音	音
态	太心
够	句多
段	{段字旁}殳
构	木勹厶
群	君羊
船	舟几口
责	龶贝
苦	艹古
章	立早
律	彳聿
愿	原心
围	囗韦
京	京
衣	衣
喜	壴口
独	犭虫
效	交攵
斗	斗
细	纟田
怕	忄白
志	士心
米	米
晚	日{免五}儿
热	执灬
项	工页
料	米斗
例	亻歹刂
灵	彐火
密	宀心丿山
害	宀丰口
供	亻共
属	尸丿口{禺字底}
验	马亼{应字心}
境	土音儿
毛	毛
般	舟殳
居	居
继	纟米⺃
错	钅龷日
沉	氵冖几
采	爫木
既	{即字旁}旡
察	宀祭
否	不口
批	扌比
脑	月㐫
夜	亠亻{夜下角}
股	月殳
速	束辶
纪	纟己
续	纟{卖字头}⺀大
假	亻叚
帮	{寿字头}阝巾
乐	{乐二}小
陆	阝𰀁凵
型	开刂土
退	艮辶
友	友
铁	钅丿夫
汉	氵又
暗	日音
状	丬犬
左	{左字框}工
句	句
雷	{雨头}田
网	冂{网字心}
率	亠幺{率字腰}十
值	亻直
普	䒑业日
承	氶三
停	亻{亮字头}丁
试	讠弋工
弹	弓丷旦丨
止	止
职	耳只
药	艹纟勹丶
久	{久二}丶
印	{印字旁}卩
卫	{节字底}一
助	且力
掌	{尚头}手
织	纟只
阳	阝日
待	彳土寸
初	衤刀
追	{追字心}辶
木	木
哈	口合
您	你心
预	予页
刻	亥刂
创	{全字头}㔾刂
诉	讠斤丶
简	{竹头}门日
射	身寸
限	阝艮
球	王求
差	{差字头}工
树	木又寸
校	木交
兰	䒑二
怪	忄又土
阵	阝车
异	巳廾
宗	宀示
波	氵皮
育	{充字头}{青字底}
激	氵敫
担	扌旦
顿	屯页
游	氵{旅字框}子
充	{充字头}儿
银	钅艮
适	舌辶
省	少目
胡	古月
食	食
警	艹句攵言
素	龶糸
尼	尸匕
排	扌非
负	{尔字头}贝
背	北{青字底}
忽	{黎右角}丿心
酒	氵酉
穿	穴牙
福	礻{同字心}田
弟	丷弓{弟省无弓}
怀	忄不
欢	又欠
环	王不
招	扌刀口
模	木莫
胜	月生
痛	疒甬
习	习
险	阝亼{应字心}
财	贝才
益	{益字头}皿
宝	宀玉
脚	月去卩
疑	匕矢龴疋
乱	舌⺃
赶	走干
坚	{贤字头}土
获	艹犭犬
劳	{荧字头}力
挥	扌冖车
