zpo	丶
xpo	口   〇 
yfu	勹  
l;w	亻 
zsu	白
bdo	寸
ksw	辶
,dw	   
/sr	又  龴  
.ar	一
npw	土 
nar	扌  𰀁   𘠲 󱣣 󲟎 𘠩
ssu	木 朩   㝳 𣎳
cvu	匕   
h;w	日 
mcw	心
fdo	十  
k;w	讠
mmo	刂      ⺉ 𘮖
gsu	女 
m;w	氵
;aw	大 
vjo	是
.,w	力 
czo	禾  
hfo	人
,ao	宀
anr	子
apu	厶 
z;o	阝
/ko	
jao	不
gkw	工
dju	 彡 ⺀    𘡂 𘬀 󲻝 𰀪
qgo	王   ⺩
d;o	纟 
f;w	可
;;r	丿
t,u	火 灬   
vco	攵 攴
vkw	巾 
s;r	你
t.w	也
vvu	  𠮛
dlw	丨
/zr	贝
b,w	牛 牜 
jaw	旦
tno	月  円
pvr	冂 冖     
fmw	云  𠫓  󰂫 
bvu	丰 龶  丯
y;u	艹 廾 丱 ⻀ 卄 ⺿  󰓯 𫡃 
d,r	门
far	戈 戈无一 
bzo	兴    𰃮 󰅄 
cpu	㐅 𘱌 乂 乄 𘠘
,vo	冫    
adu	文
gho	了 𠄏
d/u	
;vo	囗
cmu	丷
;so	我
tqo	小     𡭔
cyu	兄
zzu	 
/ko	竹  
llw	斤 
kau	西 覀 襾
qvu	田
jfr	夂 夊
str	页
yaw	犬 犭
ppw	忄  ⺗  󰍒 㣺 󳖶
ztu	欠
yxo	中 𘯉
c;o	目
xfu	彳
lqu	卩 㔾   卪 𭅲
ptw	艮 
bho	广 
.hr	刀 
/aw	开 
c.u	车 
;hu	乛
xco	至
jyr	羊     ⺶
gyo	儿
vpu	耳
hlw	见
glu	生
ypo	聿    ⺺   肀 ⺻ 󰧳 󰈡 󱌱
dhr	八 
q;r	而
jso	上
sfo	殳
nar	几  
kqo	吕 吅 
jzw	里
ngo	者
,cw	矢
jto	用 
mqr	方
zko	己 
syo	且 
pso	其
djw	去
kaw	合
gmr	厂 
hkw	手 龵   
zvu	尢 兀 丌  󰘆
dzw	角
g;w	此
jbo	多
,aw	立 
v;w	自
qbo	衣     
spo	夕
/qw	彐   𬺹
jzo	二
b;w	来
xdr	礻 衤
shu	舌 
x;u	隹
.bo	正
vgo	石
hqr	糸 幺 ⺯
bjw	马 
fkr	片 丬   爿    
alr	廴
dxo	各
hxo	本
hgo	京
hdr	果
fqu	更
aao	钅
daw	乍
;ku	米  𠂭 󱹐 󳦲
ajr	相
qqr	䒑  󰦙
jlr	弋 
;/o	占
mtr	止  龰 
lpu	雨 
jpw	弓 𢎜
;vw	直
vno	尸       
jmu	虫  󲴢 𘯊 𠀐
fku	卜 
slr	主
flw	下 󰷣
/zw	示 ⺬ 𱍐
tau	关
hzr	士
ygu	尚  龸
,/r	万 成三
g;u	壬 𡈼
.lr	豕 乑  豸 𬺻  𧰧 𬺷
cqu	言
v.w	行
jpr	水 氺     
qfu	元
bsw	音 󲨣
fsw	   
qpr	出
aco	巴
smr	业
pxu	高    󰂗 󰂘
cno	玉
kqr	古
t/w	祭   癶 
s,w	分
kvr	交
.gw	走
tpu	先
mpr	亼 亽
fnr	内
nkr	戉 戊 
pao	户
yvw	
b.w	只
spr	 耂
gpr	足 
/ao	疒
zcr	
bzu	母
sdu	四 罒 
tyr	共
zxr	丂  
v,w	定
qto	夫
jlr	发
hao	天
nto	㐄    𫝀 󰆃 𘲐
zbw	井 
kju	甬
qyw	皿
yqr	⺃
