zpo	丶
xpo	口 齊字底 面字心 〇 Δ
yfu	勹 別字旁底 万无横
l;w	亻 段二
zsu	白
bdo	寸
ksw	辶
,dw	青字底 且无横 亙无二 𡠡字边字底字旁
/sr	又 经右角 龴 癶左半 祭右角
.ar	一
npw	土 里无日
nar	扌 举字底 𰀁 夫三 牜无丿 𘠲 𥾒字边 𪮣字头字旁 𘠩
ssu	木 朩 木框 㳈字边 㝳 𣎳
cvu	匕 以字旁 比字旁 化字边
h;w	日 临下角
mcw	心
fdo	十 左字框 于无横
k;w	讠
mmo	刂 师字旁 乔字底 刀中 临字旁 州中 ⺉ 𘮖
gsu	女 女下
m;w	氵
;aw	大 大框
vjo	是
.,w	力 为字框
czo	禾 余字底 禾框
hfo	人
,ao	宀
anr	子
apu	厶 虫无口
z;o	阝
/ko	全字头
jao	不
gkw	工
dju	冬字底 彡 ⺀ 横两撇 纵两撇 纵三点 𘡂 𘬀 𭛕字头字心字边 𰀪
qgo	王 斜玉 噩字框 ⺩
d;o	纟 丝左角
f;w	可
;;r	丿
t,u	火 灬 兼无䒑无彐 亦字底 业无横
vco	攵 攴
vkw	巾 㒳字框
s;r	你
t.w	也
vvu	凬字心 同字心 𠮛
dlw	丨
/zr	贝
b,w	牛 牜 告字头
jaw	旦
tno	月 丽下角 円
pvr	冂 冖 身字框 周字框 见二 凹无横 雋字底
fmw	云 充字头 𠫓 至字头 𠆉字头 ㄊ
bvu	丰 龶 寿字头 丯
y;u	艹 廾 丱 ⻀ 卄 ⺿ サ 𠶵字腰字心 𫡃 𠇎字底
d,r	门
far	戈 戈无一 尧字头
bzo	兴 应字心 学无子 学字头 𰃮 𠌏字边字头 𫝂字底字旁
cpu	㐅 𘱌 乂 乄 𘠘
,vo	冫 率字腰 飞无折 水字框 鳏下角框
adu	文
gho	了 𠄏
d/u	在字框
;vo	囗
cmu	丷
;so	我
tqo	小 尚字头 木无横 拣字边无七 少三 𡭔
cyu	兄
zzu	卧人 弟省无弓
/ko	竹 竹头 临右角
llw	斤 丘无横
kau	西 覀 襾
qvu	田
jfr	夂 夊
str	页
yaw	犬 犭
