Yxi	門
Mdu	齐斉
Lr	儿
Tlr	木朩
Kso	两
Sr	音
Sle	力
Qhr	黾黽
Fli	髟
Je	支
Pdi	皿
Li	幺
Fyw	彡𰀪
Psu	土
Qlr	门
Ghr	黄黃
Kci	鬼
Lfo	井
Gme	六
Kgi	不
Qjr	钅
Fo	自
Si	丿
Ktu	鹿
Fmr	囚
Kr	至
Sjw	示礻⺬𱍐
Fjr	卜⺊
Jfu	生
Smr	贝
Lto	非
Jgo	里
Fi	之
Gmr	九
Jdi	飛
Mgi	山
Kau	卌
Kvi	巳
Dle	白
Qhe	臣
Pgo	匚コ𠥓
Zu	羽
Kqo	豆
Bo	鱼𩵋
Vi	乍
Dme	皮
Gke	宀冖
Hfu	矢
Fyr	巴
Dnw	乡
Le	一㇀
Dko	卅丗
Gw	⽱禸
Dyr	行
Lsi	户戶戸
Syr	卯丣
Tjr	饣
Pr	瓦
Yso	气
Dmw	了
Sko	耒
Ndi	骨⾻冎
Dlw	欠
She	习
Aje	馬
Mr	尤尢
Gu	王
Ksu	㐄
Akw	十𠂇𬺰
Spw	甫
Nfi	革
Fkr	广
Dkw	目
Kco	千
Kw	也
Smw	面靣
Hsu	水氵⺍ツ氺
Ti	壴
Vke	匕
Msi	丩
Yfo	糸糹
Kti	仑
Kqi	{龍字边}
Gyr	屮
Kdo	飞
Zye	貝
To	羊⺶⺷⺸芈
Fjw	戈
Kdi	口〇
Me	由
Hju	{齊字腰}
Qr	韋
Fhw	彳亍
Mfo	己
Vo	日⺜𫩏
Mfi	⿆
Jr	乙𠃉
Hgu	龙竜
Qu	五
Qne	車
Ci	乌
Mw	夂
Sne	辛
Dyw	川巛巜
Gje	虫
Co	未
Fhr	册冊𠕁
Syw	及
Jgu	疋⺪
Vje	刀刂〢リ
Jo	亻
Fu	丨亅
Dne	豕𧰧
Xcu	㡀
Pe	页
Kfi	身
Di	止龰
Kfe	𠂉
Lqu	犬犭
Mo	舟
Fkw	七
Lvu	干
Ndu	辶⻍
Ghw	゛冫
Nfo	龱𱕻
Jfo	寸
Qe	豸
Mdo	牛牜⺧
Bi	予
Cu	月⺝⺼円
Du	言
Ldo	士
Kai	米
Hfo	方
Mto	甘
Mfu	尸𠁣
Shr	片丬爿
Bkr	厶龴
Qo	弋
Amw	吕
Jsu	
Hdu	心忄⺗
Hti	民
Yw	已
Jti	工
Nsi	弓
Nr	丶㇏乀
Hau	麻
Su	业
Ai	{赢框}
Yr	衣衤𧘇
Vhr	僉
So	㐅乂
Flr	小⺌
Gye	毛
Zkr	厂⺁
Nai	食⻞飠
Kfo	斤
Ksu	手扌龵
Hw	云
Ydo	斗
Anw	几⺇
Fmw	谷
Xi	⺂⺃⺄フㄅㄋ
Qmw	鬲
Vhe	虎虍
He	耳
Pw	韦
Ldu	殳
Mti	瓜
Gmw	鼠䑕鼡
Ai	用
Skr	古
Cke	歹歺
Sme	三
Hgi	辰
Ao	走
Dhw	西襾覀
Fje	石
Dke	母
Cmw	氏
Vyw	各
Sye	且
Tkw	纟
Fke	老耂
Kvu	辟
Fmi	⺈
Zo	二
Jw	曰
Lfu	吅
Kqu	曲𡆪
Hfi	攴攵
Xyr	見
Lu	毋毌
Fme	齿
Mdi	龟⿔亀龜𪚦𪚴𪛉𬹝
Au	人
Ysi	長镸
Alr	⺕ㅌ彑
Ygi	光
Zhe	田
Gle	女
Sli	勹
Ysu	甲
Jgi	夫
Mqo	侖龠
Fkw	{凬字心}
Ko	雨⻗
Se	酉
Lw	阝
Ye	丸
Bw	敖
Tmr	金釒
Ble	鳥
Dlr	卵
Ho	爪⺥爫𫜵
Fhe	艮
Tyw	句
Cjo	亼亽
Kgu	鬥
Yo	烏
Do	聿⺻肀𦘒
Go	而
Ke	戉戊
Mau	黑黒
Ze	囗
Gi	无旡
Jvu	亠
Lfi	丁
Nsu	束
Ayr	缶𦈢
Nw	㠯
Amr	弗𠂔𢎨
Jfi	巾
Ksi	见
Kqi	風
Xu	足⻊
Hqo	隹
Fnw	乃
Hvu	舌
Lgi	{彀字框无一}
Hr	廴
Fe	讠
Jdo	八䒑丷癶
Clr	艹⺿丌丱卝廾艸
Bu	又スㄡ
Jzi	臼⺽
Lgi	卩⺋ㄗ㔾卪
Jbo	鸟
Xo	文
Dhe	高髙
Djw	象
Zo	
Ar	頁
Ne	亡亾兦
Fye	马𢎘
Ydi	大
Zi	入
Dkr	长
Akr	廿龷
Nw	魚
Qkr	疒
Xke	夕
Ndo	尚龸
Yw	{微框}
Tu	牙㸦
Gyw	歯齒
Qi	子
Ale	车
Hco	亥
Jsi	立
Ahe	四⺵罒
Cme	火灬
Dso	兔兎
Mvu	丰丯龶
Vkw	穴
Pu	竹⺮
Ske	可
Msu	禾
Djr	冂⺆凵
